"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789997817533964343","Mon May 13 12:35:10 +0000 2024","1","0008 ==»» pijat makassar pinggang dan punggung pegal berat efek kerja seharian?. Yuk pesan pijatku . Amanah dan ber-khasiat. ️ 085757533397 Link https://t.co/JpE3C2yU3f #pijatmakassar #pijatsulsel #pijatmaros #pijatgowa #pijat #makassar #maros #gowa #pijatkendari #kendari https://t.co/VdHF2a1kwR","1789997817533964343","https://pbs.twimg.com/media/GNdZhK5aQAA-9U2.jpg","","in","","0","0","0","https://twitter.com/MassageINA01/status/1789997817533964343","1595383521161322501","MassageINA01"
"1789996560102662498","Mon May 13 12:30:11 +0000 2024","0","Bentuk Kepedulian antar sesama Lapas Perempuan Kelas III Kendari bekerjasama dengan Palang Merah Indonesia (PMI) Kota Kendari melaksanakan kegiatan Donor Darah Senin (13/05). https://t.co/1skZ6k67lo","1789996560102662498","https://pbs.twimg.com/media/GNdYYFabcAAvUQp.jpg","","in","Kendari, Indonesia","0","0","0","https://twitter.com/LPPKendari/status/1789996560102662498","1198763242354462720","LPPKendari"
"1789624163772362915","Mon May 13 12:11:24 +0000 2024","0","@BeeN4ya Asin kalo di kendari ","1789991833184985137","","BeeN4ya","in","Kota Kendari","0","0","0","https://twitter.com/iinonggg/status/1789991833184985137","218662032","iinonggg"
"1789974765320466533","Mon May 13 11:03:35 +0000 2024","0","Turut hadir Ketua DWP Kanwil Kemenag Prov.Sultra Ny.Nurna Saleh Plh.Kabid Penmad Kemenag Prov.Sultra Supriadi Kasi Penmad H. Natsir Sahabuddin Narasumber Talkshow Drg.Hikmah Noor perwakilan Dinas Ketahanan Pangan Prov.Sultra Dinas Kesehatan Kota Kendari Ketua Komite dll","1789974770194239782","","kendari_kemenag","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/kendari_kemenag/status/1789974770194239782","1556826506340356096","kendari_kemenag"
"1789974765320466533","Mon May 13 11:03:34 +0000 2024","0","Assalamu'alaikum #SahabatReligiSultra Kepala Kantor Kemenag Kota Kendari H.Muhammad Lalan Jaya menghadiri Pembukaan Expo Madrasah &amp; P5 PPA yang dibuka langsung oleh Ka.Kanwil Kemenag Prov.Sultra H.Muhammad Saleh di Halaman MTsN 1 Kendari Senin (13/05/2024). https://t.co/XMrqLu3uZB","1789974765320466533","https://pbs.twimg.com/media/GNdEjJ2bsAAUMlz.jpg","","in","Kota Kendari, Sulawesi Tenggar","0","1","0","https://twitter.com/kendari_kemenag/status/1789974765320466533","1556826506340356096","kendari_kemenag"
"1789970719192842647","Mon May 13 10:47:30 +0000 2024","0","Kepala Kantor Kemenag Kota Kendari H.Muhammad Lalan Jaya didampingi Kasi Penmad H. Natsir Sahabuddin dan Pengawas Jenjang (MI) membuka Asesmen Tingkat Satuan Pendidikan Madrasah Ibtidayah Negeri 1 Kota Kendari di Halaman MIN 1 Kendari Senin (13/05/2024). https://t.co/R1ONenARPt","1789970719192842647","https://pbs.twimg.com/media/GNdA1CjbEAAQTr7.jpg","","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/kendari_kemenag/status/1789970719192842647","1556826506340356096","kendari_kemenag"
"1789968584430510340","Mon May 13 10:39:01 +0000 2024","0","Untuk menjalin serta meningkatkan silahturahmi dengan komunitas senam zumba di Kota Kendari relawan calon Gubernur Sultra Lukman Abunawas menggelar senam zumba bertema Zumba Togetherness Minggu (12/5/2024). https://t.co/fnKB0PuwZu","1789968584430510340","","","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/Kendarinformasi/status/1789968584430510340","987881287896649728","Kendarinformasi"
"1789967494054051949","Mon May 13 10:34:41 +0000 2024","0","#SahabatReligiSultra Kepala Kantor Kementerian Agama Kota Kendari diwakili Ka Subbag. Tata Usaha Paharuddin memimpin Apel Pagi yang rutin dilaksanakan setiap hari senin sekaligus memberi pembinaan bagi ASN di Lingkungan Kantor Kemenag Kota Kendari Senin (13/5/2024) #kemenag_ri https://t.co/fOtWAtE6mU","1789967494054051949","https://pbs.twimg.com/media/GNc98r6akAApSnk.jpg","","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/kendari_kemenag/status/1789967494054051949","1556826506340356096","kendari_kemenag"
"1789956530323792203","Mon May 13 09:51:07 +0000 2024","0"," SEPEKAN KANTOR KEMENAG KOTA KENDARI Pekan Kedua Bulan Mei 2024 #SahabatReligiSultra #kemenag_ri #TransformasiLayananKemenag #KementerianSemuaAgama https://t.co/q9YMxjI8tr","1789956530323792203","https://pbs.twimg.com/ext_tw_video_thumb/1789956324404674560/pu/img/DZZSglFX3GfnCZXq.jpg","","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/kendari_kemenag/status/1789956530323792203","1556826506340356096","kendari_kemenag"
"1789955643345879462","Mon May 13 09:47:35 +0000 2024","0","Sekelompok warga menggelar demonstrasi di depan Universitas Muhammadiyah (UM) Kendari Senin (13/5/2024). Massa menuntut agar pengerjaan gedung di kampus itu dihentikan sebab diduga tidak menerapkan Keselamatan dan Kesehatan Kerja (K3). https://t.co/M3aQAKraYx","1789955643345879462","","","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/Kendarinformasi/status/1789955643345879462","987881287896649728","Kendarinformasi"
"1789940636713426965","Mon May 13 09:12:21 +0000 2024","0","@luckyhappyladyy masih tidur dia. lemes. sumber stres w hari ini. mau dibawa mudik lagi musim hujan sama banjir otw kendari. mau ditinggal jg w galau brutal.","1789946774716657984","","luckyhappyladyy","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/henimujaa/status/1789946774716657984","1625125946872434688","henimujaa"
"1789946256887836981","Mon May 13 09:10:17 +0000 2024","0","Sobat Humas Polri . . . Polda Nusa Tenggara Timur (NTT) telah menetapkan tujuh tersangka dalam kasus penyelundupan manusia dari Kendari Sulawesi Tenggara ke Australia melalui jalur laut wilayah hukum Polda NTT. https://t.co/uhsy71Nf93","1789946256887836981","https://pbs.twimg.com/media/GNcqmdObsAAhBGr.jpg","","in","Nusa Tenggara Timur, Indonesia","0","0","0","https://twitter.com/humas_polda_ntt/status/1789946256887836981","4667368345","humas_polda_ntt"
"1789940636713426965","Mon May 13 08:47:57 +0000 2024","0","barusan kejadian kucing kosan yg sering ku kasi makan lagi tidur di bawah pohon terus disambar biawak. mana dia emang lagi ga enak badan anjir lah pusing bgt ga ada vet deket gini di kampung. kalo lagi di kendari bisa langsung otw ke vet langganan https://t.co/AjQEpCPj8v","1789940636713426965","https://pbs.twimg.com/ext_tw_video_thumb/1789940598608404480/pu/img/waRvkNaoDKtNaCKC.jpg","","in","Kota Kendari, Sulawesi Tenggar","0","2","1","https://twitter.com/henimujaa/status/1789940636713426965","1625125946872434688","henimujaa"
"1789848125525442801","Mon May 13 08:34:04 +0000 2024","0","@Indaenda1 @tanyakanrl Ya Allah akhirnya. Kendari bagian mana kita?","1789937140450672747","","Indaenda1","in","","0","0","0","https://twitter.com/SoomanMenantu/status/1789937140450672747","1601082931677900801","SoomanMenantu"
"1789936700103577600","Mon May 13 08:32:19 +0000 2024","1","Momen Warga Kendari Lakukan Berbagai Cara Rebut Perhatian Jokowi demi Selfie ~N #Momen #Jokowi #Kendari #Selfie https://t.co/Nf9HAl0UaK","1789936700103577600","https://pbs.twimg.com/media/GNch3naboAAu2it.jpg","","in","Jakarta","2","0","1","https://twitter.com/kompascom/status/1789936700103577600","23343960","kompascom"
"1789932433992765616","Mon May 13 08:15:22 +0000 2024","0","#balihointer ICI Kendari","1789932433992765616","","","in","Jakarta ; Indonesia","0","0","0","https://twitter.com/watrodukuhsabil/status/1789932433992765616","225013150","watrodukuhsabil"
"1789931476487672256","Mon May 13 08:11:33 +0000 2024","3","1. Presiden Joko Widodo menyapa warga Kota Kendari Provinsi Sulawesi Tenggara di pusat perbelanjaan The Park pada Minggu malam (12/5). https://t.co/qHXSVQAC2R","1789931476487672256","https://pbs.twimg.com/media/GNcdHCcaoAAqnsP.jpg","","in","Jakarta Pusat, DKI Jakarta","0","4","1","https://twitter.com/KemensetnegRI/status/1789931476487672256","3522129133","KemensetnegRI"
"1789929685582778590","Mon May 13 08:04:26 +0000 2024","0","Seorang pendemo bernama Muh Itong Saputra ditodongkan pistol saat menggelar aksi unjuk rasa di Kantor PT Antam Kelurahan Mataiwoi Kecamatan Wuawua Kota Kendari Senin (13/5/2024). https://t.co/4wHoLA4JNr","1789929685582778590","","","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/Kendarinformasi/status/1789929685582778590","987881287896649728","Kendarinformasi"
"1789928654815813861","Mon May 13 08:00:21 +0000 2024","0","MENERIMA PIJAT ++ DAERAH KENDARI INCALL / OUTCALL COD / BAYAR DI TEMPAT CEK WA DI BIO #pijatkendari #pijatpriakendari #gaykendari #BOkendari #gigolokendari https://t.co/34RlEmbyCC","1789928654815813861","https://pbs.twimg.com/media/GNcanszaUAA7KTS.jpg","","in","","0","0","0","https://twitter.com/Sisilia98784218/status/1789928654815813861","1762444521902927872","Sisilia98784218"
"1789810825424929063","Mon May 13 07:34:50 +0000 2024","0","@republikaonline Postingan Provokator pemecah belah umat Islam jgn dihiraukan salafi NU Muhammadiyah itu ajarannya Alquran dan Sunnah. Ga ada masalah yg masalah bagi org2 yg dungu ga mau blajar agama.","1789922232598184063","","republikaonline","in","","0","0","0","https://twitter.com/AdalahKendari/status/1789922232598184063","1581872039333613569","AdalahKendari"
"1789918893605109903","Mon May 13 07:21:33 +0000 2024","3","Minggu Malam Presiden Jokowi Sapa Warga Kendari Kendari 12 Mei 2024 https://t.co/tUt1OHKpzX","1789918893605109903","https://pbs.twimg.com/ext_tw_video_thumb/1789918621197819904/pu/img/UEzboEun6jYT6rcr.jpg","","in","","0","0","0","https://twitter.com/KerjaHasil_id/status/1789918893605109903","1405723264710709248","KerjaHasil_id"
"1758290260986036624","Mon May 13 06:53:47 +0000 2024","0","@gibran_tweet https://t.co/Av2jKhnER8 @jokowi @gibran_tweet tolong pak kebetulan lagi berkunjung di Kendari ini daerah di Kendari di Konawe Utara bupati sama Pemda setempat tutup telinga pak ","1789911902081913013","","Wijaya2333367","in","","0","0","0","https://twitter.com/Wijaya2333367/status/1789911902081913013","1385364900063547395","Wijaya2333367"
"1789911239788838979","Mon May 13 06:51:09 +0000 2024","1","*Presiden Jokowi Sapa Warga Kendari dan Santap Nasi Goreng* *BACA SELENGKAPNYA DISINI*⤵️⤵️ https://t.co/VvTfYhqM5f","1789911239788838979","","","in","","0","0","1","https://twitter.com/andijumawi01ie/status/1789911239788838979","1454830541300125703","andijumawi01ie"
"1758290260986036624","Mon May 13 06:45:27 +0000 2024","0","@gibran_tweet https://t.co/5bw6wvpARo mas kebetulan bapak Jokowi nya lagi di Kendari tolong mas kasi tau kalau berkunjung Jagan di kota saja di pinggir nya jg mas bupati sama Pemda setempat tutup telinga masyarakat kesusahan harus naik rakit buat menyebrang jalan in ini dikonawe Utara ","1789909808167944700","","gibran_tweet","in","","0","2","0","https://twitter.com/Wijaya2333367/status/1789909808167944700","1385364900063547395","Wijaya2333367"
"1789908255424094246","Mon May 13 06:39:17 +0000 2024","0","Kendari 13/5 --- Penandatanganan Nota Kesepahaman (NK) bersama RSUD Bahtetamas Prov Sultra &amp; Letter of Operational Coordination Agreement (Loca) bersama Unit Penyelenggara Bandar Udara (UPBU) Halu Oleo #basarnas #basarnaskendari https://t.co/fm4WazIqAu","1789908255424094246","https://pbs.twimg.com/media/GNcICaPaQAAKGtm.jpg","","in","Kendari, South East Sulawesi","0","0","0","https://twitter.com/basarnaskendari/status/1789908255424094246","64952760","basarnaskendari"
"1789908149006123167","Mon May 13 06:38:52 +0000 2024","0","Optimalkan Penyelenggaraan Operasi SAR KPP Kendari Melaksanakan LOCA dan MoU https://t.co/Pvt6Ujw75r","1789908149006123167","","","in","","0","0","0","https://twitter.com/sultracknews/status/1789908149006123167","1747359909816291328","sultracknews"
"1789906684225183989","Mon May 13 06:33:03 +0000 2024","1","Momen M QODARI Perdana Ikut PRESIDEN JOKOWI Blusukan ! Diajak Nge-Mall di Kendari Sapa Ratusan Warga Aku tak pernah mendukung dan memilih beliau. Faktanya lebih banyak rakyat yang mencintai beliau yang tenang humble apa adanya. https://t.co/SRZvDYZM5a lewat @YouTube","1789906684225183989","","","in","","0","1","0","https://twitter.com/Kimberley_PS08/status/1789906684225183989","1334544700917727234","Kimberley_PS08"
"1789904061715693595","Mon May 13 06:22:37 +0000 2024","0","Kendari 6-7 Mei 2024 | Bertempat di Same Hotel Kendari Panitera bapak Abd. Jabbar S. Ag Panitera Muda Hukum bapak Apit Butsiyana S.H &amp; Jurusita PA Wangi Wangi bapak Joko Santoso mengikuti kegiatan Bimbingan Teknis Kepaniteraan Pengadilan Agama Sewilayah Hukum PTA Kendari 2024. https://t.co/CndngsZnTt","1789904061715693595","https://pbs.twimg.com/media/GNcEQesbkAAr65T.jpg","","in","Wakatobi, Indonesia","0","0","0","https://twitter.com/PWangiwangi/status/1789904061715693595","1377899642583588870","PWangiwangi"
"1789848125525442801","Mon May 13 06:09:05 +0000 2024","0","@cupapimunyenyoq @tanyakanrl halo kakkk sa d kendari jg sini mi mutualan","1789900653805912088","","cupapimunyenyoq","in","","0","1","0","https://twitter.com/kikahhz/status/1789900653805912088","1290652225820385280","kikahhz"
